civic	0.005306	0.007420	0.003934	0.124226	0.070337	0.109631	0.058311	0.020498	0.005515	0.026606	0.068601	0.064258	0.082432	0.053978	0.419861	0.859972	
civil	0.002516	0.011144	0.000155	0.003360	0.000165	0.000136	0.000209	0.000825	0.000557	0.015299	0.030114	0.043456	0.121238	0.095526	0.451561	0.977550	
cobin	0.959813	0.425976	0.014573	0.257511	0.105807	0.478813	0.192641	0.620019	0.440768	0.941868	0.782013	0.721322	0.759900	0.197654	0.149674	0.030656	
colon	0.697658	0.692978	0.302824	0.689413	0.333136	0.691495	0.604027	0.898988	0.947271	0.532861	0.388864	0.400836	0.559709	0.278525	0.057940	0.024978	
comet	0.793632	0.694948	0.180236	0.392677	0.325844	0.523493	0.250430	0.629731	0.652352	0.964503	0.771468	0.524899	0.665395	0.261453	0.255597	0.039974	
comic	0.665348	0.610580	0.146630	0.461822	0.194737	0.296380	0.473537	0.808691	0.819533	0.858001	0.638274	0.452646	0.697727	0.105610	0.247984	0.049924	
coral	0.062355	0.641015	0.219350	0.537617	0.326074	0.424742	0.502579	0.636594	0.884180	0.260435	0.212085	0.177440	0.338353	0.096095	0.029763	0.003861	
davel	0.096572	0.120468	0.626673	0.605248	0.861620	0.538994	0.068443	0.038399	0.010959	0.042668	0.556917	0.589069	0.219159	0.054443	0.027178	0.013723	
delin	0.012132	0.142171	0.381979	0.564881	0.368896	0.739382	0.733525	0.439413	0.128272	0.591283	0.374712	0.307091	0.143085	0.087894	0.262445	0.046164	
demon	0.025434	0.050873	0.650734	0.733908	0.760942	0.080477	0.020077	0.011007	0.047285	0.003551	0.125430	0.790123	0.278275	0.066215	0.241139	0.033954	
denim	0.096161	0.081987	0.590028	0.296451	0.721631	0.932477	0.671565	0.492557	0.242079	0.685224	0.502540	0.474449	0.198018	0.041787	0.093602	0.000857	
devim	0.000786	0.056320	0.399686	0.377355	0.477511	0.722385	0.937712	0.406139	0.234598	0.723955	0.428175	0.332214	0.102101	0.045919	0.187097	0.118643	
facet	0.013489	0.019800	0.126991	0.443633	0.297070	0.612234	0.597133	0.494856	0.469099	0.677337	0.412651	0.312886	0.331042	0.085478	0.105003	0.101406	
fatal	0.016385	0.059974	0.036819	0.218349	0.112366	0.039364	0.134711	0.178067	0.150729	0.677528	0.791073	0.837163	0.800264	0.563056	0.616549	0.607303	
fenid	0.049874	0.214296	0.008310	0.148430	0.096508	0.137273	0.087017	0.099014	0.156548	0.610113	0.866639	0.893573	0.854529	0.588345	0.543716	0.425971	
feral	0.118729	0.219604	0.025205	0.150636	0.064903	0.107412	0.134421	0.368118	0.202388	0.745534	0.707169	0.709071	0.813398	0.547543	0.768659	0.594743	
fetal	0.018879	0.210634	0.001572	0.156187	0.185682	0.218545	0.198779	0.111649	0.037029	0.590745	0.749014	0.865473	0.688768	0.674429	0.588879	0.564869	
focal	0.017335	0.013396	0.000995	0.020762	0.111077	0.067014	0.261994	0.556698	0.552801	0.854565	0.850257	0.719483	0.821106	0.536314	0.601026	0.552329	
folip	0.002594	0.040737	0.056270	0.339603	0.159469	0.374451	0.618831	0.624846	0.479980	0.252128	0.207833	0.259647	0.284285	0.108954	0.087741	0.050690	
forum	0.024452	0.101518	0.005590	0.027427	0.015893	0.211477	0.330222	0.528318	0.570620	0.879517	0.796650	0.721107	0.925749	0.508231	0.598011	0.518304	
galed	0.000563	0.122192	0.411177	0.576299	0.489070	0.499357	0.723191	0.619530	0.266544	0.751179	0.704905	0.381298	0.179233	0.040074	0.049327	0.002435	
galef	0.011146	0.101300	0.381869	0.525240	0.265507	0.576634	0.708891	0.705566	0.508915	0.803987	0.618297	0.352498	0.150934	0.054264	0.162119	0.001371	
galel	0.034696	0.047959	0.295933	0.457272	0.447242	0.744379	0.738992	0.398667	0.120806	0.540875	0.795492	0.593625	0.381921	0.030778	0.096728	0.007931	
galem	0.025418	0.260725	0.489950	0.646300	0.387074	0.491051	0.648103	0.622095	0.254001	0.700250	0.641510	0.359339	0.345598	0.149018	0.051138	0.005464	
gapel	0.006869	0.075733	0.373716	0.432960	0.370141	0.513780	0.793089	0.830405	0.484974	0.904569	0.639755	0.336628	0.240491	0.041590	0.129336	0.012049	
givel	0.002518	0.148108	0.676941	0.622084	0.887094	0.649244	0.046032	0.032305	0.020723	0.256405	0.534585	0.402263	0.173048	0.016828	0.016793	0.000652	
gorel	0.001662	0.093707	0.411523	0.630408	0.562892	0.834221	0.364240	0.653388	0.065747	0.004584	0.010970	0.037439	0.038995	0.023089	0.000708	0.000607	
halet	0.007565	0.019091	0.063025	0.166628	0.014436	0.037221	0.176821	0.628964	0.277864	0.882985	0.906684	0.821823	0.447161	0.171744	0.069172	0.025176	
havel	0.000164	0.118341	0.724372	0.552484	0.822369	0.571543	0.138272	0.062839	0.003778	0.033683	0.552738	0.583543	0.150913	0.027349	0.009883	0.000946	
haven	0.004886	0.130004	0.790737	0.563292	0.835830	0.368564	0.051285	0.027590	0.000984	0.003464	0.235379	0.623385	0.081588	0.051464	0.008791	0.000312	
havoc	0.000716	0.013498	0.186231	0.466551	0.090122	0.042101	0.323370	0.790647	0.431701	0.683097	0.808561	0.801651	0.402715	0.111686	0.028830	0.001116	
hazel	0.005880	0.086303	0.737954	0.531432	0.870086	0.204071	0.086315	0.023167	0.003761	0.014805	0.380265	0.577427	0.080379	0.040146	0.006144	0.000903	
helic	0.002015	0.033068	0.451125	0.284140	0.446312	0.593875	1.000000	0.636964	0.355000	0.756492	0.385746	0.589740	0.125409	0.038085	0.089847	0.000627	
herib	0.000863	0.052312	0.491125	0.416761	0.483932	0.711385	0.900210	0.320450	0.094459	0.337528	0.779078	0.563011	0.148469	0.045656	0.125167	0.000682	
humor	0.003234	0.091036	0.705266	0.741339	0.614288	0.072110	0.010014	0.008575	0.010568	0.002230	0.171009	0.393266	0.271012	0.065429	0.130731	0.001776	
janem	0.000819	0.032922	0.477312	0.357017	0.813668	0.947157	0.333183	0.201779	0.043946	0.263444	0.668611	0.475190	0.441954	0.290471	0.193270	0.095156	
janep	0.001368	0.027216	0.444927	0.360009	0.770858	0.896340	0.751771	0.261928	0.067667	0.396124	0.708803	0.403979	0.332883	0.426501	0.108476	0.071265	
japel	0.005573	0.023745	0.276316	0.324756	0.776037	0.795136	0.780868	0.386047	0.186597	0.652754	0.573624	0.567134	0.367437	0.298756	0.156050	0.060133	
jokeb	0.000325	0.043349	0.580247	0.440919	0.923282	0.784959	0.230737	0.244638	0.203044	0.506776	0.407060	0.239682	0.553445	0.210213	0.203032	0.110589	
jokel	0.000859	0.074404	0.494329	0.445478	0.739853	0.910772	0.217628	0.093086	0.216301	0.366851	0.277203	0.216794	0.701135	0.269052	0.148735	0.130763	
jural	0.000032	0.059159	0.345389	0.796224	0.701041	0.211971	0.063129	0.009282	0.014351	0.276107	0.291734	0.185829	0.683139	0.548385	0.240136	0.140597	
kelic	0.497664	0.548200	0.198252	0.597081	0.108136	0.169599	0.301800	0.552995	0.139772	0.383141	0.916926	0.932480	0.574758	0.158783	0.209870	0.046513	
kevil	1.000000	0.947125	0.361384	0.462072	0.046945	0.106888	0.163443	0.448777	0.091611	0.413905	0.778738	0.855798	0.852565	0.281095	0.085317	0.085055	
